dataset,scene,sh_degree,lambda_dssim,percent_dense,scale_pos_scale_lr,scale_feat_opacity_lr,psnr,ssim,lpips,npt,size
nerf_synthetic,ship,2,0.2,0.01,1.000000,1.000000,30.69,0.000,0.000,336602,52.6
nerf_synthetic,ship,2,0.2,0.01,1.000000,2.000000,30.58,0.000,0.000,267563,41.8
nerf_synthetic,ship,2,0.2,0.01,1.000000,3.000000,30.45,0.000,0.000,164976,25.8
nerf_synthetic,ship,2,0.2,0.01,1.000000,0.500000,30.61,0.000,0.000,315484,49.3
nerf_synthetic,ship,2,0.2,0.01,1.000000,0.300000,30.50,0.000,0.000,285297,44.6
nerf_synthetic,ship,2,0.2,0.01,2.000000,1.000000,30.72,0.000,0.000,440277,68.9
nerf_synthetic,ship,2,0.2,0.01,2.000000,2.000000,30.80,0.000,0.000,324066,50.7
nerf_synthetic,ship,2,0.2,0.01,2.000000,3.000000,30.66,0.000,0.000,210655,32.9
nerf_synthetic,ship,2,0.2,0.01,2.000000,0.500000,30.49,0.000,0.000,452493,70.8
nerf_synthetic,ship,2,0.2,0.01,2.000000,0.300000,30.29,0.000,0.000,443214,69.3
nerf_synthetic,ship,2,0.2,0.01,3.000000,1.000000,30.55,0.000,0.000,489965,76.6
nerf_synthetic,ship,2,0.2,0.01,3.000000,2.000000,30.67,0.000,0.000,345588,54.1
nerf_synthetic,ship,2,0.2,0.01,3.000000,3.000000,30.62,0.000,0.000,224802,35.2
nerf_synthetic,ship,2,0.2,0.01,3.000000,0.500000,30.32,0.000,0.000,524027,82.0
nerf_synthetic,ship,2,0.2,0.01,3.000000,0.300000,30.05,0.000,0.000,529356,82.8
nerf_synthetic,ship,2,0.2,0.01,4.000000,1.000000,30.40,0.000,0.000,507599,79.4
nerf_synthetic,ship,2,0.2,0.01,4.000000,2.000000,30.56,0.000,0.000,345448,54.0
nerf_synthetic,ship,2,0.2,0.01,4.000000,3.000000,30.42,0.000,0.000,220549,34.5
nerf_synthetic,ship,2,0.2,0.01,4.000000,0.500000,30.17,0.000,0.000,550949,86.2
nerf_synthetic,ship,2,0.2,0.01,4.000000,0.300000,29.92,0.000,0.000,564932,88.4
nerf_synthetic,ship,2,0.2,0.01,0.500000,1.000000,30.32,0.000,0.000,261339,40.9
nerf_synthetic,ship,2,0.2,0.01,0.500000,2.000000,29.71,0.000,0.000,229650,35.9
nerf_synthetic,ship,2,0.2,0.01,0.500000,3.000000,29.50,0.000,0.000,141811,22.2
nerf_synthetic,ship,2,0.2,0.01,0.500000,0.500000,30.22,0.000,0.000,215544,33.7
nerf_synthetic,ship,2,0.2,0.01,0.500000,0.300000,30.12,0.000,0.000,183196,28.7
nerf_synthetic,ship,2,0.2,0.01,0.300000,1.000000,30.16,0.000,0.000,194403,30.4
nerf_synthetic,ship,2,0.2,0.01,0.300000,2.000000,29.50,0.000,0.000,174580,27.3
nerf_synthetic,ship,2,0.2,0.01,0.300000,3.000000,28.76,0.000,0.000,110096,17.2
nerf_synthetic,ship,2,0.2,0.01,0.300000,0.500000,29.90,0.000,0.000,155858,24.4
nerf_synthetic,ship,2,0.2,0.01,0.300000,0.300000,29.60,0.000,0.000,135377,21.2
nerf_synthetic,ship,2,0.2,0.015,1.000000,1.000000,30.68,0.000,0.000,322807,50.5
nerf_synthetic,ship,2,0.2,0.015,1.000000,2.000000,30.62,0.000,0.000,256811,40.2
nerf_synthetic,ship,2,0.2,0.015,1.000000,3.000000,30.15,0.000,0.000,155794,24.4
nerf_synthetic,ship,2,0.2,0.015,1.000000,0.500000,30.63,0.000,0.000,303405,47.5
nerf_synthetic,ship,2,0.2,0.015,1.000000,0.300000,30.43,0.000,0.000,271525,42.5
nerf_synthetic,ship,2,0.2,0.015,2.000000,1.000000,30.73,0.000,0.000,415739,65.0
nerf_synthetic,ship,2,0.2,0.015,2.000000,2.000000,30.79,0.000,0.000,295203,46.2
nerf_synthetic,ship,2,0.2,0.015,2.000000,3.000000,30.65,0.000,0.000,182523,28.5
nerf_synthetic,ship,2,0.2,0.015,2.000000,0.500000,30.57,0.000,0.000,425205,66.5
nerf_synthetic,ship,2,0.2,0.015,2.000000,0.300000,30.37,0.000,0.000,417434,65.3
nerf_synthetic,ship,2,0.2,0.015,3.000000,1.000000,30.59,0.000,0.000,457688,71.6
nerf_synthetic,ship,2,0.2,0.015,3.000000,2.000000,30.74,0.000,0.000,316244,49.5
nerf_synthetic,ship,2,0.2,0.015,3.000000,3.000000,30.67,0.000,0.000,195886,30.6
nerf_synthetic,ship,2,0.2,0.015,3.000000,0.500000,30.36,0.000,0.000,488586,76.4
nerf_synthetic,ship,2,0.2,0.015,3.000000,0.300000,30.10,0.000,0.000,499018,78.0
nerf_synthetic,ship,2,0.2,0.015,4.000000,1.000000,30.43,0.000,0.000,475218,74.3
nerf_synthetic,ship,2,0.2,0.015,4.000000,2.000000,30.58,0.000,0.000,318302,49.8
nerf_synthetic,ship,2,0.2,0.015,4.000000,3.000000,30.42,0.000,0.000,192301,30.1
nerf_synthetic,ship,2,0.2,0.015,4.000000,0.500000,30.17,0.000,0.000,513066,80.2
nerf_synthetic,ship,2,0.2,0.015,4.000000,0.300000,29.92,0.000,0.000,530620,83.0
nerf_synthetic,ship,2,0.2,0.015,0.500000,1.000000,30.34,0.000,0.000,234740,36.7
nerf_synthetic,ship,2,0.2,0.015,0.500000,2.000000,29.64,0.000,0.000,199655,31.2
nerf_synthetic,ship,2,0.2,0.015,0.500000,3.000000,29.17,0.000,0.000,122428,19.1
nerf_synthetic,ship,2,0.2,0.015,0.500000,0.500000,30.17,0.000,0.000,193585,30.3
nerf_synthetic,ship,2,0.2,0.015,0.500000,0.300000,30.05,0.000,0.000,168771,26.4
nerf_synthetic,ship,2,0.2,0.015,0.300000,1.000000,29.78,0.000,0.000,164470,25.7
nerf_synthetic,ship,2,0.2,0.015,0.300000,2.000000,28.66,0.000,0.000,144779,22.6
nerf_synthetic,ship,2,0.2,0.015,0.300000,3.000000,27.54,0.000,0.000,92077,14.4
nerf_synthetic,ship,2,0.2,0.015,0.300000,0.500000,29.52,0.000,0.000,132913,20.8
nerf_synthetic,ship,2,0.2,0.015,0.300000,0.300000,29.36,0.000,0.000,117789,18.4
nerf_synthetic,ship,2,0.2,0.02,1.000000,1.000000,30.74,0.000,0.000,321371,50.3
nerf_synthetic,ship,2,0.2,0.02,1.000000,2.000000,30.52,0.000,0.000,249204,39.0
nerf_synthetic,ship,2,0.2,0.02,1.000000,3.000000,30.04,0.000,0.000,155060,24.3
nerf_synthetic,ship,2,0.2,0.02,1.000000,0.500000,30.60,0.000,0.000,297569,46.5
nerf_synthetic,ship,2,0.2,0.02,1.000000,0.300000,30.45,0.000,0.000,266030,41.6
nerf_synthetic,ship,2,0.2,0.02,2.000000,1.000000,30.76,0.000,0.000,407241,63.7
nerf_synthetic,ship,2,0.2,0.02,2.000000,2.000000,30.77,0.000,0.000,287882,45.0
nerf_synthetic,ship,2,0.2,0.02,2.000000,3.000000,30.67,0.000,0.000,175325,27.4
nerf_synthetic,ship,2,0.2,0.02,2.000000,0.500000,30.60,0.000,0.000,420364,65.7
nerf_synthetic,ship,2,0.2,0.02,2.000000,0.300000,30.35,0.000,0.000,408094,63.8
nerf_synthetic,ship,2,0.2,0.02,3.000000,1.000000,30.51,0.000,0.000,446557,69.8
nerf_synthetic,ship,2,0.2,0.02,3.000000,2.000000,30.69,0.000,0.000,304213,47.6
nerf_synthetic,ship,2,0.2,0.02,3.000000,3.000000,30.61,0.000,0.000,181990,28.5
nerf_synthetic,ship,2,0.2,0.02,3.000000,0.500000,30.37,0.000,0.000,477510,74.7
nerf_synthetic,ship,2,0.2,0.02,3.000000,0.300000,30.10,0.000,0.000,484083,75.7
nerf_synthetic,ship,2,0.2,0.02,4.000000,1.000000,30.41,0.000,0.000,458717,71.7
nerf_synthetic,ship,2,0.2,0.02,4.000000,2.000000,30.51,0.000,0.000,305424,47.8
nerf_synthetic,ship,2,0.2,0.02,4.000000,3.000000,30.53,0.000,0.000,178402,27.9
nerf_synthetic,ship,2,0.2,0.02,4.000000,0.500000,30.20,0.000,0.000,494939,77.4
nerf_synthetic,ship,2,0.2,0.02,4.000000,0.300000,29.98,0.000,0.000,509979,79.8
nerf_synthetic,ship,2,0.2,0.02,0.500000,1.000000,30.19,0.000,0.000,213535,33.4
nerf_synthetic,ship,2,0.2,0.02,0.500000,2.000000,29.50,0.000,0.000,176280,27.6
nerf_synthetic,ship,2,0.2,0.02,0.500000,3.000000,29.04,0.000,0.000,109258,17.1
nerf_synthetic,ship,2,0.2,0.02,0.500000,0.500000,30.16,0.000,0.000,177290,27.7
nerf_synthetic,ship,2,0.2,0.02,0.500000,0.300000,29.96,0.000,0.000,155415,24.3
nerf_synthetic,ship,2,0.2,0.02,0.300000,1.000000,29.59,0.000,0.000,151353,23.7
nerf_synthetic,ship,2,0.2,0.02,0.300000,2.000000,28.52,0.000,0.000,132805,20.8
nerf_synthetic,ship,2,0.2,0.02,0.300000,3.000000,26.69,0.000,0.000,84131,13.2
nerf_synthetic,ship,2,0.2,0.02,0.300000,0.500000,29.27,0.000,0.000,122181,19.1
nerf_synthetic,ship,2,0.2,0.02,0.300000,0.300000,29.26,0.000,0.000,108692,17.0
nerf_synthetic,ship,2,0.2,0.007,1.000000,1.000000,30.68,0.000,0.000,360521,56.4
nerf_synthetic,ship,2,0.2,0.007,1.000000,2.000000,30.64,0.000,0.000,291009,45.5
nerf_synthetic,ship,2,0.2,0.007,1.000000,3.000000,30.41,0.000,0.000,187001,29.2
nerf_synthetic,ship,2,0.2,0.007,1.000000,0.500000,30.61,0.000,0.000,340921,53.3
nerf_synthetic,ship,2,0.2,0.007,1.000000,0.300000,30.46,0.000,0.000,309010,48.3
nerf_synthetic,ship,2,0.2,0.007,2.000000,1.000000,30.64,0.000,0.000,480107,75.1
nerf_synthetic,ship,2,0.2,0.007,2.000000,2.000000,30.77,0.000,0.000,356560,55.8
nerf_synthetic,ship,2,0.2,0.007,2.000000,3.000000,30.66,0.000,0.000,241781,37.8
nerf_synthetic,ship,2,0.2,0.007,2.000000,0.500000,30.49,0.000,0.000,492993,77.1
nerf_synthetic,ship,2,0.2,0.007,2.000000,0.300000,30.30,0.000,0.000,479112,74.9
nerf_synthetic,ship,2,0.2,0.007,3.000000,1.000000,30.54,0.000,0.000,525257,82.2
nerf_synthetic,ship,2,0.2,0.007,3.000000,2.000000,30.71,0.000,0.000,375989,58.8
